consultant_id,first_name,last_name,employment_type,services,regions,pools,restrictions,customer_experience
CONS_100059,Viktor,Ström,Employee,ForkliftOperator;InventoryControl;Packer,SE-LIN;SE-MAL,Inventory_Pool_SE;Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_8
CONS_100060,Nora,Andersson,Employee,InventoryControl;Packer;TeamLead,SE-GOT;SE-LIN,Inventory_Pool_SE;Logistics_Pool_Goteborg;TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_3;CUST_WAREHOUSE_4;CUST_WAREHOUSE_8
CONS_100061,Ali,Mattsson,Contractor,ForkliftOperator;InventoryControl;Picker,SE-UPP,TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_10;CUST_WAREHOUSE_5
CONS_100062,Elin,Holm,Temp,InventoryControl;Packer,SE-MAL;SE-STH,Inventory_Pool_SE;Logistics_Pool_Malmo;Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_2;CUST_WAREHOUSE_6
CONS_100063,Ida,Håkansson,Employee,ForkliftOperator;InventoryControl,SE-GOT,Inventory_Pool_SE;Logistics_Pool_Goteborg,NULL,CUST_WAREHOUSE_3
CONS_100064,Hassan,Björk,Temp,Picker,SE-GOT;SE-UPP,Logistics_Pool_Goteborg,NULL,CUST_WAREHOUSE_3;CUST_WAREHOUSE_5
CONS_100065,Viktor,Andersson,Employee,InventoryControl;Packer,SE-STH,Inventory_Pool_SE;Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_6
CONS_100066,Ida,Björk,Temp,ForkliftOperator,SE-LIN;SE-UPP,Logistics_Pool_Malmo,CUST_WAREHOUSE_2,CUST_WAREHOUSE_10
CONS_100067,Johan,Ek,Employee,Packer,SE-STH,Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_6
CONS_100068,Emma,Berg,Employee,ForkliftOperator;Packer,SE-GOT,Logistics_Pool_Goteborg,NULL,CUST_WAREHOUSE_3
CONS_100069,Emma,Berg,Employee,ForkliftOperator;Picker,SE-UPP,TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_5
CONS_100070,Fatima,Löfgren,Employee,ForkliftOperator;Packer;Picker,SE-MAL,Logistics_Pool_Malmo,NULL,
CONS_100071,Axel,Lundqvist,Employee,ForkliftOperator;InventoryControl;Packer,SE-MAL;SE-STH,Logistics_Pool_Malmo;Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_2;CUST_WAREHOUSE_6
CONS_100072,Oskar,Wallin,Employee,Packer,SE-GOT;SE-STH,Logistics_Pool_Goteborg;Logistics_Pool_Stockholm,NULL,
CONS_100073,Emma,Karlsson,Temp,ForkliftOperator;Picker,SE-UPP,Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_10;CUST_WAREHOUSE_5
CONS_100074,Nora,Persson,Contractor,ForkliftOperator;InventoryControl;Packer,SE-STH,Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_6
CONS_100075,Anna,Svensson,Employee,InventoryControl;Packer,SE-MAL,Inventory_Pool_SE;Logistics_Pool_Malmo,CUST_WAREHOUSE_9,CUST_WAREHOUSE_2
CONS_100076,Mohammed,Wallin,Employee,ForkliftOperator;InventoryControl;TeamLead,SE-UPP,TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_5
CONS_100077,Ida,Johansson,Employee,ForkliftOperator;InventoryControl;Picker,SE-LIN,Inventory_Pool_SE,NULL,CUST_WAREHOUSE_4
CONS_100078,Oskar,Ek,Employee,Packer,SE-MAL,Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2
CONS_100079,Johan,Ek,Employee,ForkliftOperator,SE-LIN,Logistics_Pool_Goteborg,CUST_WAREHOUSE_9,CUST_WAREHOUSE_7
CONS_100080,Oskar,Löfgren,Employee,ForkliftOperator;Picker,SE-MAL,Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2
CONS_100081,Lina,Andersson,Contractor,Packer,SE-GOT,Logistics_Pool_Goteborg,CUST_WAREHOUSE_5,CUST_WAREHOUSE_3
CONS_100082,Erik,Johansson,Contractor,ForkliftOperator;InventoryControl;Picker,SE-STH,Inventory_Pool_SE;Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_6
CONS_100083,Anna,Nilsson,Temp,InventoryControl,SE-UPP,Inventory_Pool_SE,NULL,
CONS_100084,Emma,Karlsson,Employee,InventoryControl;Packer,SE-LIN,Inventory_Pool_SE,NULL,CUST_WAREHOUSE_4;CUST_WAREHOUSE_9
CONS_100085,Johan,Håkansson,Contractor,InventoryControl;Packer;Picker,SE-UPP,Inventory_Pool_SE,NULL,CUST_WAREHOUSE_10;CUST_WAREHOUSE_5
CONS_100086,Karin,Lundqvist,Temp,ForkliftOperator;TeamLead,SE-STH;SE-UPP,Logistics_Pool_Stockholm;TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_5;CUST_WAREHOUSE_6
CONS_100087,Ida,Håkansson,Employee,InventoryControl;Packer;TeamLead,SE-UPP,Inventory_Pool_SE;TeamLead_Pool_SE,NULL,
CONS_100088,Oskar,Johansson,Contractor,ForkliftOperator;Packer,SE-STH,Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_6
CONS_100089,Lovisa,Wallin,Contractor,ForkliftOperator;InventoryControl,SE-LIN;SE-STH,Logistics_Pool_Stockholm,CUST_WAREHOUSE_3,CUST_WAREHOUSE_6
CONS_100090,Axel,Björk,Employee,InventoryControl;Picker,SE-STH,Inventory_Pool_SE;Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_6
CONS_100091,Axel,Wallin,Employee,ForkliftOperator;Packer;TeamLead,SE-GOT,Logistics_Pool_Goteborg;TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_3
CONS_100092,Oskar,Mattsson,Employee,InventoryControl;Packer,SE-STH,Inventory_Pool_SE;Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1
CONS_100093,Oskar,Johansson,Contractor,ForkliftOperator,SE-MAL,Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2
CONS_100094,Maja,Mattsson,Employee,ForkliftOperator;InventoryControl;Picker,SE-MAL;SE-STH,Inventory_Pool_SE;Logistics_Pool_Malmo;Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_6
CONS_100095,Hassan,Ström,Employee,Packer;Picker,SE-STH,Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_6
CONS_100096,Maja,Ström,Employee,ForkliftOperator;Packer,SE-STH;SE-UPP,Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1
CONS_100097,Johan,Mattsson,Employee,ForkliftOperator;Picker;TeamLead,SE-MAL,Logistics_Pool_Malmo;TeamLead_Pool_SE,CUST_WAREHOUSE_8,CUST_WAREHOUSE_2
CONS_100098,Viktor,Löfgren,Contractor,ForkliftOperator;Packer,SE-LIN,Inventory_Pool_SE,NULL,CUST_WAREHOUSE_8
CONS_100099,Fatima,Mattsson,Employee,ForkliftOperator,SE-UPP,Logistics_Pool_Malmo,NULL,
CONS_100100,Sara,Wallin,Employee,InventoryControl,SE-UPP,Inventory_Pool_SE,NULL,CUST_WAREHOUSE_10
